t,x,y,z,v_x,v_y,v_z
-1868.334147532975,-11.499883651733398,19.133363723754883,77.104248046875,0.5152350068092346,-0.32687389850616455,0.16114819049835205
-1867.2984855886664,-10.965418815612793,18.79339599609375,77.2652816772461,0.5168746709823608,-0.32964199781417847,0.14982576668262482
-1866.2628236443575,-10.429295539855957,18.450586318969727,77.41458129882812,0.5184362530708313,-0.33236050605773926,0.1384797990322113
-1865.2271617000488,-9.891595840454102,18.1049861907959,77.55210876464844,0.5199199318885803,-0.3350294828414917,0.12710976600646973
-1864.19149975574,-9.352399826049805,17.756649017333984,77.6778564453125,0.5213256478309631,-0.33764904737472534,0.11571511626243591
-1863.1558378114314,-8.811788558959961,17.405624389648438,77.79178619384766,0.522653341293335,-0.3402192294597626,0.10429531335830688
-1862.1201758671225,-8.269843101501465,17.05196189880371,77.89387512207031,0.5239030122756958,-0.34274011850357056,0.09284979104995728
-1861.0845139228138,-7.726643085479736,16.695714950561523,77.98410034179688,0.5250745415687561,-0.3452116549015045,0.08137798309326172
-1860.0488519785051,-7.182270526885986,16.336933135986328,78.06242370605469,0.5261678099632263,-0.3476339280605316,0.06987931579351425
-1859.0131900341964,-6.636806488037109,15.975669860839844,78.12882995605469,0.5271825790405273,-0.3500068485736847,0.05835321173071861
-1857.9775280898875,-6.09033203125,15.611973762512207,78.18328857421875,0.5281187891960144,-0.35233035683631897,0.04679907113313675
-1856.9418661455788,-5.542928695678711,15.245896339416504,78.22576141357422,0.5289760828018188,-0.35460442304611206,0.03521629422903061
-1855.9062042012702,-4.994678497314453,14.877490043640137,78.25621795654297,0.5297542214393616,-0.3568289279937744,0.023604271933436394
-1854.8705422569612,-4.4456634521484375,14.506805419921875,78.27464294433594,0.5304529070854187,-0.3590037524700165,0.011962390504777431
-1853.8348803126526,-3.8959662914276123,14.133893966674805,78.28099060058594,0.5310718417167664,-0.3611287474632263,0.00029002365772612393
-1852.7992183683439,-3.3456695079803467,13.758808135986328,78.27523040771484,0.5316105484962463,-0.3632037341594696,-0.011413458734750748
-1851.7635564240352,-2.794856548309326,13.381598472595215,78.25733184814453,0.5320686101913452,-0.3652285635471344,-0.02314869500696659
-1850.7278944797263,-2.2436110973358154,13.002318382263184,78.2272720336914,0.5324456691741943,-0.3672029674053192,-0.03491633012890816
-1849.6922325354176,-1.6920173168182373,12.621020317077637,78.18499755859375,0.532741129398346,-0.36912670731544495,-0.04671701416373253
-1848.656570591109,-1.1401599645614624,12.23775577545166,78.1304931640625,0.5329544544219971,-0.3709995150566101,-0.05855141207575798
-1847.6209086468002,-0.5881245136260986,11.852577209472656,78.06371307373047,0.5330851078033447,-0.3728211224079132,-0.07042017579078674
-1846.5852467024913,-0.03599677234888077,11.465539932250977,77.984619140625,0.5331324338912964,-0.3745911717414856,-0.08232399076223373
-1845.5495847581826,0.5161365866661072,11.076695442199707,77.89318084716797,0.5330958366394043,-0.3763093054294586,-0.09426351636648178
